,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
0,Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,June 24 1968,Duke,abdelal01
1,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,April 7 1946,Iowa State,abdulza01
2,Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,April 16 1947,UCLA,abdulka01
3,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,March 9 1969,LSU,abdulma02
4,Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,November 3 1974,Michigan San Jose State,abdulta01
5,Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,December 11 1976,California,abdursh01
6,Tom Abernethy,1977,1981,F,6-7,220.0,May 6 1954,Indiana,abernto01
7,Forest Able,1957,1957,G,6-3,180.0,July 27 1932,Western Kentucky,ablefo01
8,John Abramovic,1947,1948,F,6-3,195.0,February 9 1919,Salem University,abramjo01
9,Alex Abrines,2017,2019,G-F,6-6,200.0,August 1 1993,,abrinal01
10,Precious Achiuwa,2021,2023,F,6-8,225.0,September 19 1999,Memphis,achiupr01
11,Alex Acker,2006,2009,G,6-5,185.0,January 21 1983,Pepperdine,ackeral01
12,Don Ackerman,1954,1954,G,6-0,183.0,September 4 1930,Long Island University,ackerdo01
13,Mark Acres,1988,1993,F-C,6-11,220.0,November 15 1962,Oral Roberts,acresma01
14,Bud Acton,1968,1968,F,6-6,210.0,January 11 1942,Hillsdale College,actonbu01
15,Quincy Acy,2013,2019,F-C,6-7,240.0,October 6 1990,Baylor,acyqu01
16,Alvan Adams,1976,1988,C-F,6-9,210.0,July 19 1954,Oklahoma,adamsal01
17,Don Adams,1971,1977,F,6-6,210.0,November 27 1947,Northwestern,adamsdo01
18,George Adams,1973,1975,F-G,6-5,210.0,May 15 1949,Gardner-Webb University,adamsge01
19,Hassan Adams,2007,2009,G,6-4,220.0,June 20 1984,Arizona,adamsha01
20,Jaylen Adams,2019,2021,G,6-0,225.0,May 4 1996,St. Bonaventure,adamsja01
21,Jordan Adams,2015,2016,G,6-5,209.0,July 8 1994,UCLA,adamsjo01
22,Michael Adams,1986,1996,G,5-10,162.0,January 19 1963,Boston College,adamsmi01
23,Steven Adams,2014,2023,C,6-11,265.0,July 20 1993,Pitt,adamsst01
24,Rafael Addison,1987,1997,F-G,6-7,215.0,July 22 1964,Syracuse,addisra01
25,Bam Adebayo,2018,2023,C-F,6-9,255.0,July 18 1997,Kentucky,adebaba01
26,Deng Adel,2019,2019,F,6-7,200.0,February 1 1997,Louisville,adelde01
27,Rick Adelman,1969,1975,G,6-1,175.0,June 16 1946,Loyola Marymount,adelmri01
28,Jeff Adrien,2011,2015,F,6-7,245.0,February 10 1986,UConn,adrieje01
29,Arron Afflalo,2008,2018,G-F,6-5,210.0,October 15 1985,UCLA,afflaar01
30,Ochai Agbaji,2023,2023,G,6-5,215.0,April 20 2000,Kansas,agbajoc01
31,Maurice Ager,2007,2011,G,6-5,202.0,February 9 1984,Michigan State,agerma01
32,Mark Aguirre,1982,1994,F-G,6-6,232.0,December 10 1959,DePaul,aguirma01
33,Blake Ahearn,2008,2012,G,6-2,190.0,May 27 1984,Missouri State,ahearbl01
34,Danny Ainge,1982,1995,G,6-4,175.0,March 17 1959,BYU,aingeda01
35,Matt Aitch,1968,1968,F,6-7,230.0,September 21 1944,Moberly Area Community College Michigan State,aitchma01
36,Alexis Ajinca,2009,2017,C-F,7-2,248.0,May 6 1988,,ajincal01
37,Henry Akin,1967,1969,C-F,6-10,225.0,July 31 1944,Morehead State University,akinhe01
38,Josh Akognon,2013,2013,G,5-11,185.0,February 10 1986,Washington State Cal State Fullerton,akognjo01
39,DeVaughn Akoon-Purcell,2019,2019,G,6-6,200.0,June 5 1993,Illinois State,akoonde01
40,Solomon Alabi,2011,2012,C,7-1,251.0,March 21 1988,Florida State,alabiso01
41,Mark Alarie,1987,1991,F,6-8,217.0,December 11 1963,Duke,alarima01
42,Gary Alcorn,1960,1961,C,6-9,225.0,October 8 1936,Fresno State,alcorga01
43,Santi Aldama,2022,2023,F,6-11,224.0,January 10 2001,Loyola (MD),aldamsa01
44,Furkan Aldemir,2015,2015,F-C,6-10,240.0,August 9 1991,,aldemfu01
45,Cole Aldrich,2011,2018,C,6-11,250.0,October 31 1988,Kansas,aldrico01
46,LaMarcus Aldridge,2007,2022,F-C,6-11,250.0,July 19 1985,Texas,aldrila01
47,Chuck Aleksinas,1985,1985,C,6-11,260.0,February 26 1959,Kentucky UConn,aleksch01
48,Cliff Alexander,2016,2016,F,6-8,245.0,November 16 1995,Kansas,alexacl01
49,Cory Alexander,1996,2005,G,6-1,185.0,June 22 1973,Virginia,alexaco01
50,Courtney Alexander,2001,2003,G,6-5,205.0,April 27 1977,Virginia Fresno State,alexaco02
51,Gary Alexander,1994,1994,F,6-7,240.0,November 1 1969,South Florida,alexaga01
52,Joe Alexander,2009,2010,F,6-8,230.0,December 26 1986,West Virginia,alexajo01
53,Kyle Alexander,2020,2020,F,6-11,220.0,October 21 1996,Tennessee,alexaky01
54,Ty-Shon Alexander,2021,2021,G,6-3,195.0,July 16 1998,Creighton,alexaty01
55,Victor Alexander,1992,2002,C-F,6-9,265.0,August 31 1969,Iowa State,alexavi01
56,Nickeil Alexander-Walker,2020,2023,G,6-6,205.0,September 2 1998,Virginia Tech,alexani01
57,Steve Alford,1988,1991,G,6-2,183.0,November 23 1964,Indiana,alforst01
58,Rawle Alkins,2019,2019,G,6-5,225.0,October 29 1997,Arizona,alkinra01
59,Bill Allen,1968,1968,C-F,6-8,205.0,,New Mexico State,allenbi01
60,Bob Allen,1969,1969,F,6-9,205.0,July 17 1946,Marshall,allenbo01
61,Grayson Allen,2019,2023,G,6-4,198.0,October 8 1995,Duke,allengr01
62,Jarrett Allen,2018,2023,C-F,6-11,243.0,April 21 1998,Texas,allenja01
63,Jerome Allen,1996,1997,G,6-4,184.0,January 28 1973,Penn,allenje01
64,Kadeem Allen,2018,2020,G,6-1,200.0,January 15 1993,Arizona,allenka01
65,Lavoy Allen,2012,2017,F-C,6-9,260.0,February 4 1989,Temple,allenla01
66,Lucius Allen,1970,1979,G,6-2,175.0,September 26 1947,UCLA,allenlu01
67,Malik Allen,2002,2011,F-C,6-10,255.0,June 27 1978,Villanova,allenma01
68,Randy Allen,1989,1990,F,6-8,220.0,January 26 1965,Florida State,allenra01
69,Ray Allen,1997,2014,G,6-5,205.0,July 20 1975,UConn,allenra02
70,Tony Allen,2005,2018,G-F,6-4,213.0,January 11 1982,Butler County Community College Oklahoma State,allento01
71,Willie Allen,1972,1972,F,6-6,230.0,February 8 1949,Miami (FL),allenwi01
72,Odis Allison,1972,1972,F,6-6,195.0,October 2 1949,UNLV,allisod01
73,Lance Allred,2008,2008,C,6-11,250.0,February 2 1981,Utah Weber State,allrela01
74,Darrell Allums,1981,1981,F,6-9,220.0,September 12 1958,UCLA,allumda01
75,Morris Almond,2008,2012,G,6-6,225.0,February 2 1985,Rice University,almonmo01
76,Derrick Alston,1995,1997,F,6-11,225.0,August 20 1972,Duquesne,alstode01
77,Rafer Alston,2000,2010,G,6-2,171.0,July 24 1976,Fresno State,alstora01
78,Peter Aluma,1999,1999,C,6-10,260.0,April 23 1973,Liberty,alumape01
79,Jose Alvarado,2022,2023,G,6-0,179.0,April 12 1998,Georgia Tech,alvarjo01
80,John Amaechi,1996,2003,C-F,6-10,270.0,November 26 1970,Vanderbilt Penn State,amaecjo01
81,Ashraf Amaya,1996,1997,F,6-8,230.0,November 23 1971,Southern Illinois,amayaas01
82,Al-Farouq Aminu,2011,2021,F,6-8,220.0,September 21 1990,Wake Forest,aminual01
83,Lou Amundson,2007,2016,F-C,6-9,220.0,December 7 1982,UNLV,amundlo01
84,Bob Anderegg,1960,1960,F-G,6-3,200.0,August 24 1937,Michigan State,anderbo01
85,Chris Andersen,2002,2017,C-F,6-10,245.0,July 7 1978,Blinn College,anderch01
86,David Andersen,2010,2011,C,6-11,245.0,June 23 1980,,anderda03
87,Alan Anderson,2006,2017,G-F,6-6,220.0,October 16 1982,Michigan State,anderal01
88,Andy Anderson,1968,1970,G,6-2,184.0,July 6 1945,Canisius,anderan01
89,Antonio Anderson,2010,2010,G,6-6,215.0,June 5 1985,Memphis,anderan02
90,Cliff Anderson,1968,1971,G-F,6-2,200.0,September 7 1944,Saint Joseph's,andercl01
91,Dan Anderson,1968,1969,C,6-10,230.0,February 15 1943,Augsburg College,anderda01
92,Dan Anderson,1975,1976,G,6-2,185.0,January 1 1951,USC,anderda02
93,Derek Anderson,1998,2008,G,6-5,194.0,July 18 1974,Ohio State Kentucky,anderde01
94,Dwight Anderson,1983,1983,G,6-3,185.0,December 28 1960,Kentucky USC,anderdw01
95,Eric Anderson,1993,1994,F,6-9,220.0,May 26 1970,Indiana,anderer01
96,Greg Anderson,1988,1998,F-C,6-10,230.0,June 22 1964,Houston,andergr01
97,J.J. Anderson,1983,1985,F,6-8,195.0,September 23 1960,Bradley,anderjj01
98,James Anderson,2011,2016,G-F,6-6,213.0,March 25 1989,Oklahoma State,anderja01
99,Jerome Anderson,1976,1977,G,6-5,195.0,October 9 1953,West Virginia,anderje01
100,Justin Anderson,2016,2022,G,6-6,230.0,November 19 1993,Virginia,anderju01
101,Kenny Anderson,1992,2005,G,6-0,168.0,October 9 1970,Georgia Tech,anderke01
102,Kim Anderson,1979,1979,F,6-7,200.0,May 12 1955,Missouri,anderki01
103,Kyle Anderson,2015,2023,F-G,6-9,230.0,September 20 1993,UCLA,anderky01
104,Michael Anderson,1989,1989,G,5-11,184.0,March 23 1966,Drexel,andermi01
105,Nick Anderson,1990,2002,F-G,6-6,205.0,January 20 1968,Illinois,anderni01
106,Richard Anderson,1983,1990,F-C,6-10,240.0,November 19 1960,UC Santa Barbara,anderri01
107,Ron Anderson,1985,1994,F-G,6-7,215.0,October 15 1958,Fresno State,anderro01
108,Ryan Anderson,2009,2020,F,6-9,240.0,May 6 1988,California,anderry01
109,Shandon Anderson,1997,2006,F-G,6-6,208.0,December 31 1973,Georgia,andersh01
110,Willie Anderson,1989,1997,G-F,6-7,190.0,January 8 1967,Georgia,anderwi01
111,Wally Anderzunas,1970,1970,C-F,6-7,220.0,January 11 1946,Creighton,anderwa01
112,Martynas Andriuskevicius,2006,2006,C,7-2,240.0,March 12 1986,,andrima01
113,Don Anielak,1955,1955,F,6-7,190.0,November 1 1930,Missouri State,anieldo01
114,Ike Anigbogu,2018,2019,F-C,6-10,250.0,October 17 1998,UCLA,anigbik01
115,Michael Ansley,1990,1992,F,6-7,225.0,February 8 1967,Alabama,anslemi01
116,Chris Anstey,1998,2000,C,7-0,249.0,January 1 1975,,anstech01
117,Giannis Antetokounmpo,2014,2023,F-G,7-0,242.0,December 6 1994,,antetgi01
118,Kostas Antetokounmpo,2019,2021,F,6-10,200.0,November 20 1997,Dayton,antetko01
119,Thanasis Antetokounmpo,2016,2023,F,6-6,219.0,July 18 1992,,antetth01
120,Carmelo Anthony,2004,2022,F,6-7,238.0,May 29 1984,Syracuse,anthoca01
121,Cole Anthony,2021,2023,G,6-2,185.0,May 15 2000,UNC,anthoco01
122,Greg Anthony,1992,2002,G,6-0,176.0,November 15 1967,University of Portland UNLV,anthogr01
123,Joel Anthony,2008,2017,C,6-9,245.0,August 9 1982,UNLV,anthojo01
124,Pero Antic,2014,2015,C-F,6-11,260.0,July 29 1982,,anticpe01
125,OG Anunoby,2018,2023,F,6-7,232.0,July 17 1997,Indiana,anunoog01
126,Keith Appling,2016,2016,G,6-1,185.0,February 13 1992,Michigan State,applike01
127,Rafael Araujo,2005,2007,C,6-11,280.0,August 12 1980,BYU,araujra01
128,Stacey Arceneaux,1962,1962,F,6-4,210.0,February 17 1936,Iowa State,arcenst01
129,Robert Archibald,2003,2004,F,6-11,250.0,March 29 1980,Illinois,archiro01
130,Tiny Archibald,1971,1984,G,6-1,150.0,September 2 1948,Texas-El Paso,architi01
131,Ryan Arcidiacono,2018,2023,G,6-3,195.0,March 26 1994,Villanova,arcidry01
132,Jim Ard,1971,1978,F-C,6-8,215.0,September 19 1948,Cincinnati,ardji01
133,Gilbert Arenas,2002,2012,G,6-4,191.0,January 6 1982,Arizona,arenagi01
134,Trevor Ariza,2005,2022,F,6-8,215.0,June 30 1985,UCLA,arizatr01
135,Paul Arizin,1951,1962,F-G,6-4,190.0,April 9 1928,Villanova,arizipa01
136,Joe Arlauckas,1988,1988,F,6-9,230.0,July 20 1965,Niagara University,arlaujo01
137,B.J. Armstrong,1990,2000,G,6-2,175.0,September 9 1967,Iowa,armstbj01
138,Bob Armstrong,1957,1957,C-F,6-8,220.0,June 17 1933,Michigan State,armstbo01
139,Brandon Armstrong,2002,2004,G,6-5,188.0,June 16 1980,Pepperdine,armstbr01
140,Curly Armstrong,1949,1951,G-F,5-11,170.0,November 1 1918,Indiana,armstcu01
